Time [s],CON (-ATC),CON (+ATC),HEM1 (-ATC),HEM1 (+ATC),COR1 (-ATC),COR1 (+ATC)
0,339,361,212,222,90,70
30,322,365,204,220,56,63
60,329,338,223,238,72,71
90.1,362,392,181,230,41,56
120,386,404,209,247,48,63
150.1,364,448,239,230,61,46
180,404,450,228,280,54,47
210.1,381,516,206,257,44,50
240.1,407,537,213,272,65,54
270.1,427,603,242,279,52,53
300.3,395,613,216,275,53,56
330.3,452,661,236,309,47,43
360.1,432,703,234,333,48,50
390.3,440,714,235,360,49,52
420.3,427,854,268,394,58,63
450.3,416,917,226,388,60,54
480.3,410,983,264,474,41,68
510.3,408,965,267,483,44,78
540.3,428,1095,261,521,40,84
570.3,489,1209,264,571,57,80
600.3,470,1307,282,560,47,79
630.3,490,1358,302,667,46,75
660.1,514,1440,273,778,50,85
690.1,462,1662,246,776,41,90
720.1,444,1791,282,853,57,115
750.1,490,1796,250,927,51,106
780.1,504,1864,276,1009,43,110
810.2,489,2114,245,1047,44,99
840.2,480,2291,228,1170,48,139
870.2,482,2373,298,1248,38,130
900.2,485,2526,325,1419,57,146
930.2,497,2835,275,1498,53,194
960.4,490,2786,278,1608,59,212
990.4,525,3105,314,1688,33,165
1020.4,508,3175,283,1750,43,200
1050.4,488,3432,314,1970,39,186
1080.4,493,3787,276,2110,60,225
1110.4,551,3950,250,2218,48,272
1140.4,483,4063,280,2371,55,234
1170.4,502,4272,293,2597,40,275
1200.4,525,4606,282,2620,48,278
1230.4,489,4837,284,2806,43,312
1260.5,522,4829,273,3006,47,369
1290.4,505,5148,292,3260,53,394
1320.2,503,5530,295,3383,33,389
1350.2,566,5684,291,3306,42,433
1380.2,558,5979,295,3726,57,449
1410.2,549,6235,294,3937,51,436
1440.2,541,6400,280,4146,56,501
1470.2,526,6853,260,4411,38,529
1500.2,536,7104,285,4432,49,496
1530.2,536,7477,310,4814,43,576
1560.2,530,7828,283,5122,38,604
1590.2,542,8216,293,5101,40,635
1620.2,524,8308,274,5350,40,689
1650.3,534,8723,312,5701,62,732
1680.2,546,9190,279,6071,41,739
1710.5,580,9309,288,6213,45,727
1740.5,517,9752,323,6364,54,791
1770.4,556,10205,299,6718,51,905
1800.4,565,10418,266,6938,52,872
1830.5,617,10843,280,7173,44,971
1860.5,551,11420,280,7293,43,1011
1890.5,589,11645,278,7753,34,1065
1920.2,572,11977,316,8061,34,1040
1950.2,572,12250,271,8313,47,1105
1980.2,571,12788,309,8647,54,1165
2010.2,548,13022,284,8857,73,1187
2040.3,560,13506,331,9216,39,1191
2070.3,582,14093,330,9396,43,1348
2100.3,584,14362,294,9886,46,1383
2130.3,582,14773,298,10037,58,1443
2160.3,542,15277,324,10505,43,1422
2190.3,562,15574,294,10551,40,1523
2220.3,601,16243,335,11185,48,1511
2250.5,559,16231,323,11251,60,1648
2280.3,601,17055,306,11567,42,1780
2310.5,587,17590,342,11753,45,1751
2340.5,602,17972,280,12314,27,1810
2370.5,621,18659,309,12468,64,1890
2400.5,610,18979,333,12967,46,1910
2430.5,605,19293,325,13475,53,2105
2460.5,608,19732,282,13552,35,2139
2490.5,620,20430,291,13783,47,2089
2520.3,600,21130,313,14111,56,2221
2550.5,594,21492,349,14643,68,2280
2580.5,637,21828,311,14817,59,2336
2610.3,577,22586,314,15297,43,2367
2640.6,578,23182,303,15663,71,2500
2670.4,624,23692,337,15757,63,2669
2700.4,566,23936,295,16275,47,2587
2730.4,633,24591,313,16797,51,2764
2760.4,617,25279,351,16903,52,2698
2790.4,591,25558,295,17405,61,2861
2820.4,593,26266,298,17432,47,2961
2850.4,652,26833,320,18019,61,3086
2880.4,672,27514,311,18434,51,3089
2910.4,675,28091,353,18784,56,3167
2940.6,652,28647,318,19200,46,3278
2970.6,578,29089,304,19375,59,3310
3000.6,602,30101,329,19848,47,3401
3030.6,653,30323,348,19943,65,3490
3060.6,632,31176,318,20512,58,3588
3090.6,668,31558,359,20891,49,3606
3120.7,654,32232,360,21568,44,3701
3150.6,698,32950,313,21789,51,3818
3180.6,652,33629,338,22109,62,3942
3210.6,636,34291,358,22651,46,4048
3240.4,634,35356,332,22796,44,4006
3270.5,577,35906,343,23109,61,4055
3300.4,727,36251,358,23726,77,4244
3330.4,675,36914,348,24032,55,4280
3360.4,644,37680,369,24622,53,4282
3390.4,647,38199,327,24825,55,4712
3420.4,646,39155,351,25282,48,4384
3450.5,689,39449,342,25615,52,4590
3480.4,679,40393,356,26195,76,4944
3510.7,650,40737,339,26573,59,4987
3540.4,662,41721,361,26957,86,5065
3570.5,676,42678,390,27226,59,4964
3600.5,703,42968,395,27512,75,5035
